_lab_Sample Name,_lab_country,_lab_city,_lab_street,Feature 01,Feature 02,Feature 03,Feature 04,Feature 05,Feature 06,Feature 07,Feature 08,Feature 09,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Feature 22,Feature 23,Feature 24,Feature 25,Feature 26,Feature 27,Feature 28,Feature 29,Feature 30,Feature 31,Feature 32,Feature 33,Feature 34,Feature 35,Feature 36,Feature 37
Sample 021,4,3,1,2820.322407,2774.945174,6777.87883,22852.15693,239.6612749,199.0782991,19.89510703,4826.498631,2972.909411,580.6101626,123.5327834,1548.886598,152.3736377,7707.039762,32.92193089,249.3880627,520.5279827,145.2771006,31.82855286,6.568298766,6.847370108,176.5872284,331.5634894,361.9540086,6801.979912,10.53884504,420.8562174,10.77746207,127.3474413,403491.1431,7.311005287,789363.9436,188.5545667,32.33493868,10.50937845,3.868709535,4.732119752
Sample 022,4,3,2,3596.369045,2159.208935,5489.431852,24944.4894,190.6362986,169.1858832,20.36481062,4410.578886,2437.961663,428.7990812,123.3546511,1299.970289,110.1667376,5977.709241,28.75541679,197.840621,448.8643673,125.1024179,28.48603662,6.14925615,6.233619165,169.4491742,317.2346759,323.2090733,6843.327284,9.733813978,420.2643559,10.35760595,127.1395385,122020.5183,7.270821119,367652.9184,143.4481031,31.83986803,10.48089695,4.048933332,3.904751719
Sample 023,4,3,2,3243.849129,2342.209282,5875.156908,24567.19305,202.9994779,145.5733703,15.02799936,4499.985872,2615.5706,481.6015683,123.7731148,1386.942526,121.2680867,6612.641341,27.88766314,229.7132663,449.1425905,130.7519873,32.75795393,6.933688425,6.646125492,172.1782166,324.9875976,339.4680356,7176.71569,11.02966935,420.7755473,10.02532378,127.2162385,268438.8214,7.62822688,206027.8595,174.7497837,37.99997975,10.74528582,4.541395582,4.611231381
Sample 024,4,3,2,3193.933993,2364.236231,6046.17501,22698.13238,201.4809782,163.0517011,15.51783831,4493.32978,2552.562879,433.8494175,123.8816811,1875.638128,135.4863914,7972.174061,30.19573313,247.3352344,515.0733916,149.5001585,30.87650849,6.831721107,6.847010216,178.5882909,322.1268511,338.9525757,6735.853088,9.162876256,681.0379207,10.83377961,127.5558217,257846.1701,7.358996637,86666.5474,142.0993355,28.41033442,11.22464646,3.987186261,4.257219372
Sample 025,4,3,3,3423.678735,2501.619396,5906.16357,23728.94131,194.7937036,147.5508121,17.91597555,4543.204236,2794.176661,540.5427206,123.7340921,1296.09059,127.6274556,6912.062152,22.68776687,234.3698004,458.2739795,139.3930022,30.16879026,6.354017276,6.649883333,171.9191523,322.2790036,421.662696,7480.804955,9.206938912,420.7250598,10.36319781,127.0511837,331665.2387,6.432731437,771933.9171,169.036518,40.37599073,10.54383198,4.167044492,4.76109302
Sample 026,4,3,3,3380.424407,2519.607304,6364.999321,23167.00265,223.0655735,174.320955,15.84928168,4697.100548,2733.513679,522.2932993,123.4064322,1338.074708,132.4139137,7277.406659,29.89361333,245.4752586,500.1582504,141.4684324,30.90360007,6.365021997,6.632000713,173.1513238,320.7756709,359.8371149,6965.82211,9.949764495,420.8946476,10.7885618,127.4173526,152234.0129,7.675335532,205674.5215,167.6033675,36.35404937,10.53098642,4.490110968,4.897474652
Sample 027,4,3,3,2870.409799,2509.450138,6158.561056,22052.02359,205.5236325,176.9583738,14.97714517,4396.403306,2545.548472,449.3017739,123.6041787,1542.182451,150.5730628,7892.463063,20.67545774,268.1848628,578.0171752,155.2873412,32.51814862,7.39336397,7.169041747,176.0346468,325.7895138,353.045944,7096.961101,9.410364379,420.767987,10.87965966,127.7115802,348007.6597,7.804352283,388271.631,169.3681604,32.14897279,10.70126956,3.996523569,4.155150775
Sample 028,3,4,1,2906.72556,2329.458725,6743.183225,21252.15634,119.7074326,285.3508389,38.90042355,5240.616701,922.2652774,490.0878026,158.8411051,1209.031688,95.96368711,8747.202674,30.25221419,324.5220857,502.6748172,145.4830785,36.31797607,6.87912314,8.556476555,177.4478178,196.8384333,328.0576485,5456.568949,9.367827708,420.2068468,10.67650784,127.879273,121658.4543,6.365648704,551778.532,150.5412801,31.75831335,12.9864344,4.430145798,3.719347887
Sample 029,3,4,1,2510.322145,2259.661945,6821.702702,23074.96492,127.8608093,264.6124624,33.50490849,5546.491543,794.093893,550.6550578,141.9274668,1449.724936,86.48267017,7812.86955,27.14998771,279.6609575,442.7363783,125.0214359,34.45688022,6.084134054,8.217101409,168.6700132,189.0964447,311.3305336,6224.693622,10.25527245,420.0433042,10.54524406,127.6014794,884153.0577,6.855266285,228953.252,156.3137335,29.13950827,11.78849553,4.259635982,4.408676453
Sample 030,3,4,1,2273.171187,2529.770286,7141.15359,22783.06704,123.2741262,301.2657657,39.69925362,5353.286446,831.6351173,512.898362,123.896192,1356.144159,82.5483676,7542.59794,25.52468217,274.2793617,440.2357235,118.6593425,30.68401628,5.385040063,7.646894246,158.1951431,178.6889705,270.7015118,4368.464149,9.733821732,420.1535636,10.89888885,137.384972,94278.39006,6.697647951,641940.6204,163.8457718,24.04055482,11.08905961,4.130856642,3.909607451
