_lab_Type,Isobutane,Butane,c-2-Butene,2-Methyl-1-butene,t-2-Pentene,2-Methyl-2-butene,2<comma>2-Dimethylbutane,2-Methylpentane,Hexane,2<comma>4-Dimethylpentane,Cyclohexane,3-Methylhexane,Heptane,2<comma>4-Dimethylhexane,Toluene,2<comma>3-Dimethylhexane,Ethylbenzene,p-Xylene,1-Methyl-3-ethylbenzene,1<comma>3<comma>5-Trimethylbenzene,1<comma>2<comma>4-Trimethylbenzene,2-Methylnaphthalene,1<comma>3-Butadiene,t-2-Butene,Isopentane,Pentane,c-2-Pentene,Cyclopentane,2<comma>3-Dimethylbutane,3-Methylpentane,Methylcyclopentane,Benzene,2-Methylhexane,2<comma>2<comma>4-Trimethylpentane,Methylcyclohexane,2<comma>3<comma>4-Trimethylpentane,2<comma>3<comma>3-Trimethylpentane,3-Methylheptane,m-Xylene,o-Xylene,1-Methyl-4-ethylbenzene,1-Methyl-2-ethylbenzene,Naphthalene,1-Methylnaphthalene
PU,0.57,2.32,0.08,0.26,0.45,0.61,0.55,3.34,2.11,1.16,0.33,1.44,0.92,0.61,10.05,0.5,1.95,2.31,2.71,1.4,4.27,0.35,0,0.08,7.94,3.96,0.25,0.41,1.31,2.21,1.32,1.96,3.51,2.88,0.29,1.44,1.09,0.48,5.6,3.11,1.23,0.96,0.49,0.14
PU,0.33,2.11,0.08,0.44,0.62,0.88,0.17,2.14,1.22,2.09,0.09,1.98,1.28,0.67,10.58,0.69,1.76,2.06,1.41,0.77,2.48,0.13,0,0.09,5.88,2.42,0.34,0.13,1.55,1.46,0.89,2.05,5.87,3.19,0.39,1.95,1.05,0.8,5.18,2.82,0.62,0.5,0.12,0.06
PU,1.19,2.43,0.37,0.52,0.71,1.01,0.3,2.79,2.11,0.63,0.08,2.13,1.4,0.3,14.36,0.25,2.59,3.4,2.02,1.17,3.23,0.28,0.01,0.43,4.92,2.69,0.4,0.16,0.63,2.03,0.92,3.37,3.07,1.07,0.37,0.25,0,0.76,8.21,3.96,0.87,0.69,0.21,0.11
PU,0.85,3.11,0,0.01,0,0.01,0.85,5.66,2.54,0.4,0.62,2.44,1.78,0.23,9.59,0.2,1.16,2.19,3.51,1.96,6.63,0.23,0,0,11.94,3.3,0,0.7,0.99,3.56,1.81,3.16,2.82,0,0.14,0.01,0,0.7,5.4,3.97,1.63,1.32,0.29,0.11
PU,1.09,7.34,0.02,0.06,0.07,0.11,0.33,1.83,0.56,4.59,0.13,0.94,0.82,1.63,2.71,1.57,0.57,0.59,0.58,0.33,1.01,0.05,0,0.02,6.05,0.53,0.04,0.2,1.78,1.16,0.76,0.69,13.16,18.61,0.27,6.09,3.49,0.47,1.41,0.94,0.26,0.25,0.06,0.02
PU,0.17,7.18,0.03,0.5,0.7,0.99,0.09,1.8,0.81,2.83,0.07,1.07,0.57,1.17,3.95,1.21,0.86,0.96,1.04,0.57,1.66,0.18,0,0.02,4.89,0.91,0.39,0.11,1.06,1.17,0.84,0.88,8.56,13.87,0.4,4.54,2.41,0.55,2.47,1.41,0.43,0.44,0.41,0.05
PU,0.68,3.45,0.01,0.02,0.03,0.05,0.56,6.31,3.12,0.6,0.5,2.75,1.59,0.3,3.26,0.19,1.1,1.7,3.74,1.84,6.37,0.09,0,0.01,11.83,6.71,0.01,1.05,1.18,3.83,4.37,1.32,3.54,0,0.84,0.04,0,0.74,3.9,3.37,1.75,1.37,0.29,0.05
PU,0.86,2.38,0.24,0.63,0.75,1.16,1.16,4.19,2.68,0.38,0.49,1.77,1.14,0.17,12.85,0.11,2.27,2.89,2.29,1.3,3.41,0.07,0,0.25,9.01,3.93,0.42,0.4,1.05,2.84,1.47,3.57,2.13,0,0.54,0.03,0,0.57,6.59,3.26,1.02,0.74,0.15,0.03
PU,1.43,3.25,0.06,0.59,0.73,1.1,0.25,3.49,1.86,0.37,0.16,1.52,0.82,0.2,19.84,0.15,1.2,1.43,1.89,1.01,3.4,0.3,0,0.06,6.61,3.68,0.41,0.33,0.66,2.23,1.38,0.41,1.93,0,0.47,0.06,0,0.65,3.49,2,0.84,0.79,0.32,0.15
PU,0.45,3.88,0.08,0.37,0.47,0.73,0.31,2.79,0.74,0.62,0.06,0.7,0.4,0.86,10.59,0.75,1.91,2.3,2.05,1.18,3.36,0.41,0,0.08,9.21,6.32,0.26,0.77,0.98,1.33,0.7,0.4,1.11,7.12,0.32,2.83,1.09,0.54,5.43,2.9,0.9,0.77,0.4,0.15
